terse_version_3;fio_version;jobname;groupid;error;read_kb;read_bandwidth_kb;read_iops;read_runtime_ms;read_slat_min_us;read_slat_max_us;read_slat_mean_us;read_slat_dev_us;read_clat_min_us;read_clat_max_us;read_clat_mean_us;read_clat_dev_us;read_clat_pct01;read_clat_pct02;read_clat_pct03;read_clat_pct04;read_clat_pct05;read_clat_pct06;read_clat_pct07;read_clat_pct08;read_clat_pct09;read_clat_pct10;read_clat_pct11;read_clat_pct12;read_clat_pct13;read_clat_pct14;read_clat_pct15;read_clat_pct16;read_clat_pct17;read_clat_pct18;read_clat_pct19;read_clat_pct20;read_tlat_min_us;read_lat_max_us;read_lat_mean_us;read_lat_dev_us;read_bw_min_kb;read_bw_max_kb;read_bw_agg_pct;read_bw_mean_kb;read_bw_dev_kb;write_kb;write_bandwidth_kb;write_iops;write_runtime_ms;write_slat_min_us;write_slat_max_us;write_slat_mean_us;write_slat_dev_us;write_clat_min_us;write_clat_max_us;write_clat_mean_us;write_clat_dev_us;write_clat_pct01;write_clat_pct02;write_clat_pct03;write_clat_pct04;write_clat_pct05;write_clat_pct06;write_clat_pct07;write_clat_pct08;write_clat_pct09;write_clat_pct10;write_clat_pct11;write_clat_pct12;write_clat_pct13;write_clat_pct14;write_clat_pct15;write_clat_pct16;write_clat_pct17;write_clat_pct18;write_clat_pct19;write_clat_pct20;write_tlat_min_us;write_lat_max_us;write_lat_mean_us;write_lat_dev_us;write_bw_min_kb;write_bw_max_kb;write_bw_agg_pct;write_bw_mean_kb;write_bw_dev_kb;cpu_user;cpu_sys;cpu_csw;cpu_mjf;cpu_minf;iodepth_1;iodepth_2;iodepth_4;iodepth_8;iodepth_16;iodepth_32;iodepth_64;lat_2us;lat_4us;lat_10us;lat_20us;lat_50us;lat_100us;lat_250us;lat_500us;lat_750us;lat_1000us;lat_2ms;lat_4ms;lat_10ms;lat_20ms;lat_50ms;lat_100ms;lat_250ms;lat_500ms;lat_750ms;lat_1000ms;lat_2000ms;lat_over_2000ms;disk_name;disk_read_iops;disk_write_iops;disk_read_merges;disk_write_merges;disk_read_ticks;write_ticks;disk_queue_time;disk_util
3;fio-3.25;read-job-32k-io1;0;0;524288;28353;886;18491;3;21862;62.027397;375.072489;105;78228;1058.892695;2962.769597;1.000000%=166;5.000000%=216;10.000000%=240;20.000000%=272;30.000000%=305;40.000000%=321;50.000000%=337;60.000000%=358;70.000000%=382;80.000000%=518;90.000000%=888;95.000000%=6651;99.000000%=15007;99.500000%=19267;99.900000%=30539;99.950000%=33161;99.990000%=43253;0%=0;0%=0;0%=0;116;78236;1121.538975;3067.612280;1472;96961;8.828068%;27533.861111;35953.446328;0;0;0;0;0;0;0.000000;0.000000;0;0;0.000000;0.000000;1.000000%=0;5.000000%=0;10.000000%=0;20.000000%=0;30.000000%=0;40.000000%=0;50.000000%=0;60.000000%=0;70.000000%=0;80.000000%=0;90.000000%=0;95.000000%=0;99.000000%=0;99.500000%=0;99.900000%=0;99.950000%=0;99.990000%=0;0%=0;0%=0;0%=0;0;0;0.000000;0.000000;0;0;0.000000%;0.000000;0.000000;1.552190%;5.992428%;16570;0;21;100.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;12.87%;66.37%;9.70%;1.61%;2.71%;0.15%;3.79%;2.37%;0.42%;0.01%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;sda;180266;231;1493;153;735093;1351;736963;99.41%
3;fio-3.25;read-job-32k-io2;0;0;524288;33998;1062;15421;2;15789;71.561700;408.172815;132;74939;1795.522307;3671.356596;1.000000%=203;5.000000%=254;10.000000%=288;20.000000%=329;30.000000%=358;40.000000%=387;50.000000%=432;60.000000%=552;70.000000%=651;80.000000%=1105;90.000000%=6193;95.000000%=9502;99.000000%=17170;99.500000%=20840;99.900000%=31064;99.950000%=34340;99.990000%=43253;0%=0;0%=0;0%=0;152;74960;1867.527671;3749.178018;3456;159360;10.288136%;32087.666667;50034.683730;0;0;0;0;0;0;0.000000;0.000000;0;0;0.000000;0.000000;1.000000%=0;5.000000%=0;10.000000%=0;20.000000%=0;30.000000%=0;40.000000%=0;50.000000%=0;60.000000%=0;70.000000%=0;80.000000%=0;90.000000%=0;95.000000%=0;99.000000%=0;99.500000%=0;99.900000%=0;99.950000%=0;99.990000%=0;0%=0;0%=0;0%=0;0;0;0.000000;0.000000;0;0;0.000000%;0.000000;0.000000;1.348898%;6.011673%;13491;0;29;0.1%;100.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;4.37%;52.03%;19.24%;2.88%;5.25%;1.84%;9.92%;3.86%;0.59%;0.01%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;sda;180266;231;1493;153;735093;1351;736963;99.41%
3;fio-3.25;read-job-32k-io4;0;0;524288;38392;1199;13656;2;28001;132.501964;731.358540;196;48008;3179.991603;4349.807195;1.000000%=346;5.000000%=436;10.000000%=489;20.000000%=561;30.000000%=610;40.000000%=659;50.000000%=774;60.000000%=1155;70.000000%=3981;80.000000%=5996;90.000000%=8847;95.000000%=11599;99.000000%=19267;99.500000%=22675;99.900000%=34340;99.950000%=36962;99.990000%=42205;0%=0;0%=0;0%=0;216;62658;3312.847249;4529.174256;7744;195975;10.295925%;32111.961538;49431.423703;0;0;0;0;0;0;0.000000;0.000000;0;0;0.000000;0.000000;1.000000%=0;5.000000%=0;10.000000%=0;20.000000%=0;30.000000%=0;40.000000%=0;50.000000%=0;60.000000%=0;70.000000%=0;80.000000%=0;90.000000%=0;95.000000%=0;99.000000%=0;99.500000%=0;99.900000%=0;99.950000%=0;99.990000%=0;0%=0;0%=0;0%=0;0;0;0.000000;0.000000;0;0;0.000000%;0.000000;0.000000;1.479312%;4.745514%;13188;0;44;0.1%;0.1%;100.0%;0.0%;0.0%;0.0%;0.0%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.08%;11.15%;37.84%;5.30%;9.97%;5.76%;22.53%;6.51%;0.87%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;sda;180266;231;1493;153;735093;1351;736963;99.41%
3;fio-3.25;read-job-32k-io8;0;0;524288;42736;1335;12268;1;24829;290.932118;1129.086737;650;44068;5664.277812;4558.440130;1.000000%=864;5.000000%=995;10.000000%=1089;20.000000%=1220;30.000000%=3194;40.000000%=4079;50.000000%=4751;60.000000%=5734;70.000000%=6914;80.000000%=8355;90.000000%=10944;95.000000%=13828;99.000000%=22937;99.500000%=27656;99.900000%=34340;99.950000%=35389;99.990000%=43253;0%=0;0%=0;0%=0;672;45063;5955.503705;4846.087944;17984;175229;12.724104%;39685.208333;30062.409008;0;0;0;0;0;0;0.000000;0.000000;0;0;0.000000;0.000000;1.000000%=0;5.000000%=0;10.000000%=0;20.000000%=0;30.000000%=0;40.000000%=0;50.000000%=0;60.000000%=0;70.000000%=0;80.000000%=0;90.000000%=0;95.000000%=0;99.000000%=0;99.500000%=0;99.900000%=0;99.950000%=0;99.990000%=0;0%=0;0%=0;0%=0;0;0;0.000000;0.000000;0;0;0.000000%;0.000000;0.000000;1.198337%;4.565093%;12054;0;75;0.1%;0.1%;0.1%;100.0%;0.0%;0.0%;0.0%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.13%;5.11%;19.07%;14.73%;48.08%;11.29%;1.58%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;sda;180266;231;1493;153;735093;1351;736963;99.41%
3;fio-3.25;read-job-32k-io16;0;0;524288;49875;1558;10512;1;35238;544.822611;1565.216829;1065;105433;9637.452202;6816.947708;1.000000%=2506;5.000000%=3129;10.000000%=3719;20.000000%=4620;30.000000%=5668;40.000000%=6782;50.000000%=8028;60.000000%=9371;70.000000%=10813;80.000000%=13041;90.000000%=16908;95.000000%=22151;99.000000%=35389;99.500000%=41680;99.900000%=57409;99.950000%=77070;99.990000%=94896;0%=0;0%=0;0%=0;1068;108300;10182.540286;7253.663860;25024;76736;15.987077%;49862.095238;16442.581579;0;0;0;0;0;0;0.000000;0.000000;0;0;0.000000;0.000000;1.000000%=0;5.000000%=0;10.000000%=0;20.000000%=0;30.000000%=0;40.000000%=0;50.000000%=0;60.000000%=0;70.000000%=0;80.000000%=0;90.000000%=0;95.000000%=0;99.000000%=0;99.500000%=0;99.900000%=0;99.950000%=0;99.990000%=0;0%=0;0%=0;0%=0;0;0;0.000000;0.000000;0;0;0.000000%;0.000000;0.000000;0.903815%;2.844639%;7880;0;140;0.1%;0.1%;0.1%;0.1%;99.9%;0.0%;0.0%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.16%;12.93%;51.35%;29.10%;6.24%;0.21%;0.01%;0.00%;0.00%;0.00%;0.00%;0.00%;sda;180266;231;1493;153;735093;1351;736963;99.41%
3;fio-3.25;read-job-32k-io32;0;0;524288;45737;1429;11463;1;23834;691.859337;1662.396118;2499;101662;21570.369603;10333.909081;1.000000%=6848;5.000000%=9764;10.000000%=11468;20.000000%=13828;30.000000%=15663;40.000000%=17432;50.000000%=19267;60.000000%=21364;70.000000%=23724;80.000000%=27656;90.000000%=34865;95.000000%=41680;99.000000%=57409;99.500000%=64225;99.900000%=85458;99.950000%=87556;99.990000%=92798;0%=0;0%=0;0%=0;2505;101671;22262.499169;10666.412042;21120;64128;14.330460%;44695.272727;12131.697114;0;0;0;0;0;0;0.000000;0.000000;0;0;0.000000;0.000000;1.000000%=0;5.000000%=0;10.000000%=0;20.000000%=0;30.000000%=0;40.000000%=0;50.000000%=0;60.000000%=0;70.000000%=0;80.000000%=0;90.000000%=0;95.000000%=0;99.000000%=0;99.500000%=0;99.900000%=0;99.950000%=0;99.990000%=0;0%=0;0%=0;0%=0;0;0;0.000000;0.000000;0;0;0.000000%;0.000000;0.000000;0.732856%;2.870354%;4528;0;270;0.1%;0.1%;0.1%;0.1%;0.1%;99.8%;0.0%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.07%;5.45%;48.34%;43.93%;2.20%;0.01%;0.00%;0.00%;0.00%;0.00%;0.00%;sda;180266;231;1493;153;735093;1351;736963;99.41%
3;fio-3.25;read-job-32k-io64;0;0;524288;46143;1441;11362;1;36136;685.724261;1700.302659;4306;177831;43307.711620;18386.717132;1.000000%=17694;5.000000%=23461;10.000000%=26345;20.000000%=29753;30.000000%=32899;40.000000%=35389;50.000000%=38535;60.000000%=42205;70.000000%=46923;80.000000%=54263;90.000000%=67633;95.000000%=80216;99.000000%=105381;99.500000%=117964;99.900000%=166723;99.950000%=166723;99.990000%=168820;0%=0;0%=0;0%=0;4314;181515;43993.713784;18674.278202;15296;64384;14.379895%;44849.454545;12691.731544;0;0;0;0;0;0;0.000000;0.000000;0;0;0.000000;0.000000;1.000000%=0;5.000000%=0;10.000000%=0;20.000000%=0;30.000000%=0;40.000000%=0;50.000000%=0;60.000000%=0;70.000000%=0;80.000000%=0;90.000000%=0;95.000000%=0;99.000000%=0;99.500000%=0;99.900000%=0;99.950000%=0;99.990000%=0;0%=0;0%=0;0%=0;0;0;0.000000;0.000000;0;0;0.000000%;0.000000;0.000000;0.642549%;2.799049%;5154;0;524;0.1%;0.1%;0.1%;0.1%;0.1%;0.2%;99.6%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.12%;1.54%;73.23%;23.59%;1.51%;0.00%;0.00%;0.00%;0.00%;0.00%;sda;180266;231;1493;153;735093;1351;736963;99.41%
3;fio-3.25;read-job-32k-io128;0;0;524288;44872;1402;11684;1;34975;705.246326;1736.409188;4932;271362;89020.367226;34921.045800;1.000000%=10027;5.000000%=43253;10.000000%=57409;20.000000%=65798;30.000000%=70778;40.000000%=76021;50.000000%=80216;60.000000%=86507;70.000000%=96993;80.000000%=116916;90.000000%=137363;95.000000%=156237;99.000000%=191889;99.500000%=227540;99.900000%=258998;99.950000%=263192;99.990000%=270532;0%=0;0%=0;0%=0;4945;272425;89725.898811;35200.649589;10560;68800;13.825164%;43119.304348;13258.876061;0;0;0;0;0;0;0.000000;0.000000;0;0;0.000000;0.000000;1.000000%=0;5.000000%=0;10.000000%=0;20.000000%=0;30.000000%=0;40.000000%=0;50.000000%=0;60.000000%=0;70.000000%=0;80.000000%=0;90.000000%=0;95.000000%=0;99.000000%=0;99.500000%=0;99.900000%=0;99.950000%=0;99.990000%=0;0%=0;0%=0;0%=0;0;0;0.000000;0.000000;0;0;0.000000%;0.000000;0.000000;0.436532%;3.321065%;4563;0;1036;0.1%;0.1%;0.1%;0.1%;0.1%;0.2%;99.6%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.98%;1.21%;4.61%;64.86%;28.14%;0.20%;0.00%;0.00%;0.00%;0.00%;sda;180266;231;1493;153;735093;1351;736963;99.41%
3;fio-3.25;read-job-32k-io256;0;0;524288;45003;1406;11650;1;55750;702.861363;1740.485785;2973;398971;176577.930927;60476.398559;1.000000%=38010;5.000000%=104333;10.000000%=117964;20.000000%=137363;30.000000%=145752;40.000000%=154140;50.000000%=160432;60.000000%=168820;70.000000%=185597;80.000000%=233832;90.000000%=270532;95.000000%=299892;99.000000%=333447;99.500000%=341835;99.900000%=387973;99.950000%=392167;99.990000%=400556;0%=0;0%=0;0%=0;6282;399381;177281.071542;60717.398010;2816;67904;13.938471%;43472.695652;14708.690895;0;0;0;0;0;0;0.000000;0.000000;0;0;0.000000;0.000000;1.000000%=0;5.000000%=0;10.000000%=0;20.000000%=0;30.000000%=0;40.000000%=0;50.000000%=0;60.000000%=0;70.000000%=0;80.000000%=0;90.000000%=0;95.000000%=0;99.000000%=0;99.500000%=0;99.900000%=0;99.950000%=0;99.990000%=0;0%=0;0%=0;0%=0;0;0;0.000000;0.000000;0;0;0.000000%;0.000000;0.000000;0.789767%;2.987381%;4744;0;2059;0.1%;0.1%;0.1%;0.1%;0.1%;0.2%;99.6%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.01%;0.18%;0.32%;0.88%;3.06%;80.70%;14.84%;0.00%;0.00%;0.00%;0.00%;sda;180266;231;1493;153;735093;1351;736963;99.41%
3;fio-3.25;read-job-32k-io512;0;0;524288;45022;1406;11645;1;34265;702.646350;1730.806571;5671;676676;349065.861090;104127.091978;1.000000%=35389;5.000000%=210763;10.000000%=270532;20.000000%=287309;30.000000%=299892;40.000000%=312475;50.000000%=329252;60.000000%=341835;70.000000%=362807;80.000000%=446693;90.000000%=501219;95.000000%=549453;99.000000%=599785;99.500000%=616562;99.900000%=624951;99.950000%=666894;99.990000%=675282;0%=0;0%=0;0%=0;5679;676703;349768.795533;104326.856963;20416;64960;14.362173%;44794.181818;11416.831733;0;0;0;0;0;0;0.000000;0.000000;0;0;0.000000;0.000000;1.000000%=0;5.000000%=0;10.000000%=0;20.000000%=0;30.000000%=0;40.000000%=0;50.000000%=0;60.000000%=0;70.000000%=0;80.000000%=0;90.000000%=0;95.000000%=0;99.000000%=0;99.500000%=0;99.900000%=0;99.950000%=0;99.990000%=0;0%=0;0%=0;0%=0;0;0;0.000000;0.000000;0;0;0.000000%;0.000000;0.000000;0.523875%;3.169014%;4460;0;4108;0.1%;0.1%;0.1%;0.1%;0.1%;0.2%;99.6%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.32%;0.31%;0.70%;1.03%;4.05%;83.77%;9.83%;0.00%;0.00%;0.00%;sda;180266;231;1493;153;735093;1351;736963;99.41%
