terse_version_3;fio_version;jobname;groupid;error;read_kb;read_bandwidth_kb;read_iops;read_runtime_ms;read_slat_min_us;read_slat_max_us;read_slat_mean_us;read_slat_dev_us;read_clat_min_us;read_clat_max_us;read_clat_mean_us;read_clat_dev_us;read_clat_pct01;read_clat_pct02;read_clat_pct03;read_clat_pct04;read_clat_pct05;read_clat_pct06;read_clat_pct07;read_clat_pct08;read_clat_pct09;read_clat_pct10;read_clat_pct11;read_clat_pct12;read_clat_pct13;read_clat_pct14;read_clat_pct15;read_clat_pct16;read_clat_pct17;read_clat_pct18;read_clat_pct19;read_clat_pct20;read_tlat_min_us;read_lat_max_us;read_lat_mean_us;read_lat_dev_us;read_bw_min_kb;read_bw_max_kb;read_bw_agg_pct;read_bw_mean_kb;read_bw_dev_kb;write_kb;write_bandwidth_kb;write_iops;write_runtime_ms;write_slat_min_us;write_slat_max_us;write_slat_mean_us;write_slat_dev_us;write_clat_min_us;write_clat_max_us;write_clat_mean_us;write_clat_dev_us;write_clat_pct01;write_clat_pct02;write_clat_pct03;write_clat_pct04;write_clat_pct05;write_clat_pct06;write_clat_pct07;write_clat_pct08;write_clat_pct09;write_clat_pct10;write_clat_pct11;write_clat_pct12;write_clat_pct13;write_clat_pct14;write_clat_pct15;write_clat_pct16;write_clat_pct17;write_clat_pct18;write_clat_pct19;write_clat_pct20;write_tlat_min_us;write_lat_max_us;write_lat_mean_us;write_lat_dev_us;write_bw_min_kb;write_bw_max_kb;write_bw_agg_pct;write_bw_mean_kb;write_bw_dev_kb;cpu_user;cpu_sys;cpu_csw;cpu_mjf;cpu_minf;iodepth_1;iodepth_2;iodepth_4;iodepth_8;iodepth_16;iodepth_32;iodepth_64;lat_2us;lat_4us;lat_10us;lat_20us;lat_50us;lat_100us;lat_250us;lat_500us;lat_750us;lat_1000us;lat_2ms;lat_4ms;lat_10ms;lat_20ms;lat_50ms;lat_100ms;lat_250ms;lat_500ms;lat_750ms;lat_1000ms;lat_2000ms;lat_over_2000ms;disk_name;disk_read_iops;disk_write_iops;disk_read_merges;disk_write_merges;disk_read_ticks;write_ticks;disk_queue_time;disk_util
3;fio-3.25;rw-job-4k-io1;0;0;262852;2198;549;119563;2;30613;26.963463;266.238605;1;2099640;627.609915;8275.816537;1.000000%=112;5.000000%=132;10.000000%=146;20.000000%=173;30.000000%=203;40.000000%=222;50.000000%=236;60.000000%=248;70.000000%=268;80.000000%=358;90.000000%=1613;95.000000%=2703;99.000000%=5603;99.500000%=7241;99.900000%=12386;99.950000%=14876;99.990000%=23986;0%=0;0%=0;0%=0;36;2099648;654.768159;8284.754142;24;9144;9.183693%;2214.739316;2789.132590;261436;2186;546;119563;2;20959;28.812993;260.375134;4;846343;1138.044092;4372.199760;1.000000%=113;5.000000%=136;10.000000%=150;20.000000%=177;30.000000%=207;40.000000%=226;50.000000%=240;60.000000%=252;70.000000%=272;80.000000%=387;90.000000%=2670;95.000000%=7700;99.000000%=13959;99.500000%=16318;99.900000%=21102;99.950000%=24248;99.990000%=37486;0%=0;0%=0;0%=0;43;846830;1167.053979;4415.873499;24;9376;9.134168%;2202.978632;2766.474501;0.994463%;2.883859%;133017;0;20;100.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.01%;0.00%;0.01%;0.00%;0.01%;0.21%;59.15%;22.73%;2.10%;1.61%;4.26%;4.68%;3.66%;1.51%;0.07%;0.01%;0.01%;0.00%;0.00%;0.01%;0.00%;0.01%;sda;728550;719790;690;1162;1388491;2972765;4365240;98.68%
3;fio-3.25;rw-job-4k-io2;0;0;261608;2673;668;97856;1;830180;60.916283;3272.104857;1;2099316;999.257364;8371.579462;1.000000%=108;5.000000%=129;10.000000%=146;20.000000%=187;30.000000%=216;40.000000%=236;50.000000%=257;60.000000%=309;70.000000%=651;80.000000%=1548;90.000000%=2768;95.000000%=4014;99.000000%=7503;99.500000%=9633;99.900000%=15532;99.950000%=19791;99.990000%=32374;0%=0;0%=0;0%=0;34;2099324;1060.297001;9018.882346;72;15504;11.244691%;2711.769634;3850.727540;262680;2684;671;97856;1;18196;47.890618;389.367029;33;2100149;1873.967291;9482.944582;1.000000%=109;5.000000%=130;10.000000%=148;20.000000%=189;30.000000%=218;40.000000%=238;50.000000%=261;60.000000%=317;70.000000%=831;80.000000%=2703;90.000000%=6586;95.000000%=9502;99.000000%=15007;99.500000%=16908;99.900000%=22413;99.950000%=26869;99.990000%=52690;0%=0;0%=0;0%=0;37;2100154;1921.979507;9524.759112;72;14944;11.293362%;2723.732984;3848.583984;0.801185%;2.523121%;122143;0;20;0.1%;100.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.01%;0.00%;0.01%;0.01%;0.04%;0.27%;46.16%;20.66%;3.15%;2.71%;7.43%;9.20%;7.98%;2.29%;0.11%;0.01%;0.01%;0.00%;0.00%;0.01%;0.00%;0.01%;sda;728550;719790;690;1162;1388491;2972765;4365240;98.68%
3;fio-3.25;rw-job-4k-io4;0;0;262248;3228;807;81228;1;54580;101.755424;653.737453;1;2099662;1656.969748;14363.728526;1.000000%=116;5.000000%=140;10.000000%=166;20.000000%=226;30.000000%=268;40.000000%=366;50.000000%=716;60.000000%=1204;70.000000%=1875;80.000000%=2670;90.000000%=3948;95.000000%=5406;99.000000%=9109;99.500000%=11075;99.900000%=18219;99.950000%=23199;99.990000%=57409;0%=0;0%=0;0%=0;36;2099665;1758.839608;14390.782578;120;16328;13.609275%;3282.012658;4080.777316;262040;3225;806;81228;1;830161;122.951530;3306.181447;36;2100430;3073.575248;10706.929897;1.000000%=117;5.000000%=142;10.000000%=168;20.000000%=230;30.000000%=272;40.000000%=403;50.000000%=1155;60.000000%=2441;70.000000%=3850;80.000000%=5734;90.000000%=8454;95.000000%=10813;99.000000%=15663;99.500000%=17956;99.900000%=25559;99.950000%=31588;99.990000%=74973;0%=0;0%=0;0%=0;40;2100437;3196.644225;11264.667115;184;15736;13.596547%;3279.215190;4085.431034;1.056299%;2.591503%;118418;0;21;0.1%;0.1%;100.0%;0.0%;0.0%;0.0%;0.0%;0.01%;0.00%;0.00%;0.00%;0.06%;0.19%;25.71%;18.00%;4.31%;3.96%;11.95%;16.41%;15.92%;3.30%;0.17%;0.01%;0.01%;0.00%;0.00%;0.01%;0.00%;0.01%;sda;728550;719790;690;1162;1388491;2972765;4365240;98.68%
3;fio-3.25;rw-job-4k-io8;0;0;261836;3693;923;70891;1;54574;226.331572;920.312375;32;2099448;3012.390718;21719.230020;1.000000%=156;5.000000%=276;10.000000%=419;20.000000%=749;30.000000%=1089;40.000000%=1515;50.000000%=1990;60.000000%=2506;70.000000%=3162;80.000000%=4177;90.000000%=5931;95.000000%=7831;99.000000%=13041;99.500000%=15794;99.900000%=23461;99.950000%=29491;99.990000%=834666;0%=0;0%=0;0%=0;35;2099452;3238.834642;21751.930540;416;18976;15.434282%;3722.131387;2756.197972;262452;3702;925;70891;1;37998;245.610716;947.617121;33;2102189;5162.915885;13132.578647;1.000000%=185;5.000000%=366;10.000000%=724;20.000000%=1728;30.000000%=2605;40.000000%=3391;50.000000%=4227;60.000000%=5144;70.000000%=6258;80.000000%=7766;90.000000%=10158;95.000000%=12517;99.000000%=18219;99.500000%=21626;99.900000%=30801;99.950000%=42205;99.990000%=139460;0%=0;0%=0;0%=0;40;2102198;5408.640032;13198.144396;392;19216;15.446984%;3725.503650;2759.731472;1.017069%;2.824094%;100069;0;19;0.1%;0.1%;0.1%;100.0%;0.0%;0.0%;0.0%;0.00%;0.00%;0.00%;0.00%;0.02%;0.07%;3.12%;6.63%;5.35%;4.94%;16.47%;26.52%;30.35%;6.09%;0.42%;0.01%;0.01%;0.00%;0.00%;0.01%;0.00%;0.01%;sda;728550;719790;690;1162;1388491;2972765;4365240;98.68%
3;fio-3.25;rw-job-4k-io16;0;0;261884;4005;1001;65380;1;2071065;457.477021;8194.715578;146;2104138;6103.850035;21762.945061;1.000000%=481;5.000000%=913;10.000000%=1368;20.000000%=2244;30.000000%=3063;40.000000%=3850;50.000000%=4816;60.000000%=5799;70.000000%=7045;80.000000%=8716;90.000000%=11468;95.000000%=14221;99.000000%=21102;99.500000%=24772;99.900000%=39059;99.950000%=47972;99.990000%=843055;0%=0;0%=0;0%=0;157;2104299;6561.431920;23325.820839;664;6096;17.144121%;4134.476190;1044.998065;262404;4013;1003;65380;1;829422;446.432116;3466.909128;554;2104199;8940.303367;27055.362007;1.000000%=1515;5.000000%=2506;10.000000%=3194;20.000000%=4292;30.000000%=5341;40.000000%=6324;50.000000%=7438;60.000000%=8585;70.000000%=10027;80.000000%=11993;90.000000%=15138;95.000000%=18219;99.000000%=25559;99.500000%=29229;99.900000%=47448;99.950000%=80216;99.990000%=2071986;0%=0;0%=0;0%=0;557;2107622;9386.842483;27310.979719;448;6408;17.173237%;4141.841270;1060.586603;0.850426%;1.745209%;53437;0;18;0.1%;0.1%;0.1%;0.1%;100.0%;0.0%;0.0%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.03%;0.54%;1.09%;1.41%;6.80%;19.57%;47.98%;20.24%;2.26%;0.04%;0.01%;0.00%;0.00%;0.01%;0.00%;0.01%;sda;728550;719790;690;1162;1388491;2972765;4365240;98.68%
3;fio-3.25;rw-job-4k-io32;0;0;262956;3948;987;66591;1;2067613;499.481670;8154.658403;544;2111428;14196.408605;32913.362262;1.000000%=3260;5.000000%=5079;10.000000%=6193;20.000000%=7897;30.000000%=9371;40.000000%=10813;50.000000%=12386;60.000000%=13959;70.000000%=15925;80.000000%=18481;90.000000%=22413;95.000000%=26083;99.000000%=35913;99.500000%=40632;99.900000%=65798;99.950000%=173015;99.990000%=2105540;0%=0;0%=0;0%=0;558;2132002;14695.997524;33981.574148;328;6400;16.877598%;4070.201550;1076.463302;261332;3924;981;66591;1;827783;513.005881;3521.307763;1794;2114121;17314.121636;37813.718608;1.000000%=4751;5.000000%=6782;10.000000%=8093;20.000000%=10027;30.000000%=11730;40.000000%=13434;50.000000%=15007;60.000000%=16908;70.000000%=19267;80.000000%=21889;90.000000%=26345;95.000000%=30539;99.000000%=41156;99.500000%=47972;99.900000%=86507;99.950000%=843055;99.990000%=2105540;0%=0;0%=0;0%=0;1800;2114125;17827.239548;38013.644789;360;6536;16.770517%;4044.713178;1055.304985;0.459528%;1.486710%;39705;0;17;0.1%;0.1%;0.1%;0.1%;0.1%;100.0%;0.0%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.01%;0.01%;0.05%;1.29%;25.72%;51.68%;20.93%;0.25%;0.02%;0.00%;0.00%;0.02%;0.00%;0.02%;sda;728550;719790;690;1162;1388491;2972765;4365240;98.68%
3;fio-3.25;rw-job-4k-io64;0;0;262484;3877;969;67692;1;2099212;512.264904;8282.796759;3012;2142141;30916.614394;47425.064197;1.000000%=10158;5.000000%=13565;10.000000%=16056;20.000000%=19267;30.000000%=22151;40.000000%=24772;50.000000%=27656;60.000000%=31064;70.000000%=34865;80.000000%=39059;90.000000%=45350;95.000000%=51118;99.000000%=64749;99.500000%=71827;99.900000%=206569;99.950000%=876609;99.990000%=2139095;0%=0;0%=0;0%=0;3014;2143673;31428.981375;48180.019383;368;7848;16.507744%;3981.007634;1139.260040;261804;3867;966;67692;1;845734;517.274200;3585.480980;3009;2150637;34136.656455;54921.489771;1.000000%=11730;5.000000%=15663;10.000000%=18219;20.000000%=21889;30.000000%=24772;40.000000%=27394;50.000000%=30539;60.000000%=34340;70.000000%=38010;80.000000%=42729;90.000000%=49545;95.000000%=55312;99.000000%=69730;99.500000%=77070;99.900000%=212860;99.950000%=2122317;99.990000%=2139095;0%=0;0%=0;0%=0;3011;2150639;34654.034126;55069.926973;424;7264;16.459057%;3969.595420;1110.226434;0.521487%;1.533439%;37730;0;16;0.1%;0.1%;0.1%;0.1%;0.1%;0.1%;100.0%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.01%;0.61%;17.77%;74.06%;7.34%;0.11%;0.00%;0.00%;0.05%;0.00%;0.05%;sda;728550;719790;690;1162;1388491;2972765;4365240;98.68%
3;fio-3.25;rw-job-4k-io128;0;0;262248;3868;967;67787;1;2072450;521.933051;8190.832869;3197;2176404;64259.764274;72932.600166;1.000000%=22937;5.000000%=33816;10.000000%=38010;20.000000%=43778;30.000000%=48496;40.000000%=52690;50.000000%=57933;60.000000%=63700;70.000000%=69730;80.000000%=78118;90.000000%=89653;95.000000%=100139;99.000000%=124256;99.500000%=135266;99.900000%=910163;99.950000%=2164260;99.990000%=2164260;0%=0;0%=0;0%=0;3347;2176406;64781.802783;73441.348517;496;7400;16.368500%;3947.427481;1050.965673;262040;3865;966;67787;1;831837;509.133540;3519.554071;3512;2176543;67061.120414;74712.623599;1.000000%=24510;5.000000%=35913;10.000000%=40632;20.000000%=45875;30.000000%=50593;40.000000%=55312;50.000000%=60555;60.000000%=66322;70.000000%=72876;80.000000%=82313;90.000000%=93847;95.000000%=104333;99.000000%=128450;99.500000%=139460;99.900000%=2164260;99.950000%=2164260;99.990000%=2164260;0%=0;0%=0;0%=0;3514;2177483;67570.360215;74838.899233;536;7408;16.348943%;3943.038168;1045.956827;0.510430%;1.537191%;37665;0;18;0.1%;0.1%;0.1%;0.1%;0.1%;0.1%;100.0%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.02%;0.34%;0.49%;30.26%;62.99%;5.63%;0.08%;0.00%;0.10%;0.00%;0.10%;sda;728550;719790;690;1162;1388491;2972765;4365240;98.68%
3;fio-3.25;rw-job-4k-io256;0;0;261308;3857;964;67739;1;2085468;533.582173;8870.916590;4181;2242486;130122.460502;106316.932792;1.000000%=54788;5.000000%=72876;10.000000%=80216;20.000000%=89653;30.000000%=98041;40.000000%=108527;50.000000%=117964;60.000000%=129499;70.000000%=143654;80.000000%=158334;90.000000%=179306;95.000000%=196083;99.000000%=229638;99.500000%=396361;99.900000%=2231369;99.950000%=2231369;99.990000%=2231369;0%=0;0%=0;0%=0;4185;2244734;130656.148653;106740.581869;408;8016;16.363182%;3946.145038;1103.727301;262980;3882;970;67739;1;152069;496.795872;1398.045296;4177;2252274;133204.931298;108280.366017;1.000000%=56885;5.000000%=76021;10.000000%=82313;20.000000%=91750;30.000000%=101187;40.000000%=110624;50.000000%=121110;60.000000%=133693;70.000000%=147849;80.000000%=162529;90.000000%=183500;95.000000%=200278;99.000000%=235929;99.500000%=408944;99.900000%=2231369;99.950000%=2231369;99.990000%=2231369;0%=0;0%=0;0%=0;4180;2252756;133701.834844;108333.850551;408;7792;16.461336%;3970.145038;1124.716300;0.637751%;1.398034%;38545;0;15;0.1%;0.1%;0.1%;0.1%;0.1%;0.1%;100.0%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.05%;0.07%;0.60%;29.73%;68.88%;0.29%;0.00%;0.19%;0.00%;0.19%;sda;728550;719790;690;1162;1388491;2972765;4365240;98.68%
3;fio-3.25;rw-job-4k-io512;0;0;262440;3881;970;67611;1;2071125;517.264583;8193.829982;2598;2423208;261277.129343;160221.693415;1.000000%=127401;5.000000%=158334;10.000000%=168820;20.000000%=185597;30.000000%=202375;40.000000%=217055;50.000000%=238026;60.000000%=265289;70.000000%=287309;80.000000%=316669;90.000000%=350224;95.000000%=379584;99.000000%=599785;99.500000%=1098907;99.900000%=2399141;99.950000%=2399141;99.990000%=2432696;0%=0;0%=0;0%=0;2601;2423212;261794.503962;160502.078798;440;7104;16.487486%;3976.122137;1106.125483;261848;3872;968;67611;1;846138;511.005673;3543.310316;2602;2431184;265242.560123;160456.964646;1.000000%=129499;5.000000%=162529;10.000000%=170917;20.000000%=189792;30.000000%=204472;40.000000%=221249;50.000000%=242221;60.000000%=270532;70.000000%=291504;80.000000%=320864;90.000000%=354418;95.000000%=383778;99.000000%=608174;99.500000%=1098907;99.900000%=2399141;99.950000%=2432696;99.990000%=2432696;0%=0;0%=0;0%=0;2604;2431186;265753.677758;160558.899357;376;7632;16.458266%;3969.404580;1069.599370;0.499926%;1.511611%;39029;0;15;0.1%;0.1%;0.1%;0.1%;0.1%;0.1%;100.0%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.01%;0.04%;0.01%;0.13%;0.20%;52.83%;45.61%;0.39%;0.00%;0.39%;0.39%;sda;728550;719790;690;1162;1388491;2972765;4365240;98.68%
